id,Pageviews,Unique Pageviews,Avg. Time on Screen
a0640000002jx5oAAA,,,
a0640000002jx5OAAQ,,,
a0640000002jx5pAAA,34,32,0
a0640000002jx5PAAQ,,,
a0640000002jx5qAAA,114,55,0
a0640000002jx5rAAA,,,
a0640000002jx5RAAQ,289,141,0
a0640000002jx5sAAA,,,
a0640000002jx5SAAQ,34,31,0
a0640000002jx5tAAA,13,11,0
a0640000002jx5TAAQ,93,79,0
a0640000002jx5uAAA,,,
a0640000002jx5UAAQ,67,58,0
a0640000002jx5vAAA,7,6,0
a0640000002jx5VAAQ,34,27,0
a0640000002jx5wAAA,,,
a0640000002jx5WAAQ,,,
a0640000002jx5xAAA,7,6,0
a0640000002jx5yAAA,42,38,0
a0640000002jx5YAAQ,43,23,0
a0640000002jx5zAAA,,,
a0640000002jx5ZAAQ,,,
a0640000002jx60AAA,,,
a0640000002jx61AAA,,,
a0640000002jx62AAA,,,
a0640000002jx63AAA,,,
a0640000002jx64AAA,417,231,0
a0640000002jx65AAA,138,76,0
a0640000002jx66AAA,,,
a0640000002jx67AAA,14,12,0
a0640000002jx68AAA,,,
a0640000002jx69AAA,,,
a0640000002jx6aAAA,55,46,0
a0640000002jx6AAAQ,,,
a0640000002jx6bAAA,,,
a0640000002jx6BAAQ,,,
a0640000002jx6cAAA,31,25,0
a0640000002jx6CAAQ,,,
a0640000002jx6dAAA,144,86,0
a0640000002jx6DAAQ,105,65,0
a0640000002jx6eAAA,,,
a0640000002jx6EAAQ,47,23,0
a0640000002jx6fAAA,213,133,0
a0640000002jx6FAAQ,,,
a0640000002jx6gAAA,11,8,0
a0640000002jx6GAAQ,,,
a0640000002jx6hAAA,,,
a0640000002jx6HAAQ,,,
a0640000002jx6iAAA,8,6,0
a0640000002jx6IAAQ,114,66,0
a0640000002jx6jAAA,,,
a0640000002jx6JAAQ,,,
a0640000002jx6KAAQ,160,155,0
a0640000002jx6LAAQ,364,172,0
a0640000002jx6mAAA,12,11,0
a0640000002jx6MAAQ,58,34,0
a0640000002jx6nAAA,167,85,0
a0640000002jx6NAAQ,14,10,0
a0640000002jx6oAAA,10,6,0
a0640000002jx6OAAQ,6,6,0
a0640000002jx6pAAA,,,
a0640000002jx6PAAQ,136,77,0
a0640000002jx6qAAA,,,
a0640000002jx6QAAQ,,,
a0640000002jx6rAAA,11,11,0
a0640000002jx6RAAQ,105,45,0
a0640000002jx6SAAQ,32,28,0
a0640000002jx6tAAA,54,26,0
a0640000002jx6TAAQ,,,
a0640000002jx6uAAA,,,
a0640000002jx6UAAQ,119,79,0
a0640000002jx6vAAA,,,
a0640000002jx6VAAQ,,,
a0640000002jx6wAAA,,,
a0640000002jx6WAAQ,,,
a0640000002jx6xAAA,129,61,0
a0640000002jx6XAAQ,,,
a0640000002jx6yAAA,,,
a0640000002jx6YAAQ,51,29,0
a0640000002jx6zAAA,,,
a0640000002jx6ZAAQ,20,14,0
a0640000002jx70AAA,,,
a0640000002jx71AAA,,,
a0640000002jx72AAA,,,
a0640000002jx73AAA,,,
a0640000002jx74AAA,,,
a0640000002jx75AAA,15,14,0
a0640000002jx76AAA,,,
a0640000002jx77AAA,153,73,0
a0640000002jx78AAA,,,
a0640000002jx79AAA,,,
a0640000002jx7aAAA,,,
a0640000002jx7AAAQ,,,
a0640000002jx7bAAA,30,17,0
a0640000002jx7BAAQ,,,
a0640000002jx7cAAA,9,5,0
a0640000002jx7CAAQ,,,
a0640000002jx7dAAA,17,13,0
a0640000002jx7DAAQ,,,
a0640000002jx7eAAA,,,
a0640000002jx7EAAQ,726,400,0
a0640000002jx7fAAA,13,12,0
a0640000002jx7FAAQ,,,
a0640000002jx7gAAA,,,
a0640000002jx7GAAQ,25,20,0
a0640000002jx7hAAA,,,
a0640000002jx7HAAQ,292,140,0
a0640000002jx7iAAA,,,
a0640000002jx7IAAQ,,,
a0640000002jx7jAAA,,,
a0640000002jx7JAAQ,7,4,0
a0640000002jx7kAAA,,,
a0640000002jx7KAAQ,75,30,0
a0640000002jx7lAAA,25,22,0
a0640000002jx7LAAQ,,,
a0640000002jx7MAAQ,,,
a0640000002jx7nAAA,,,
a0640000002jx7NAAQ,,,
a0640000002jx7oAAA,,,
a0640000002jx7OAAQ,,,
a0640000002jx7pAAA,,,
a0640000002jx7PAAQ,,,
a0640000002jx7qAAA,,,
a0640000002jx7QAAQ,89,51,0
a0640000002jx7rAAA,,,
a0640000002jx7RAAQ,13,5,0
a0640000002jx7sAAA,,,
a0640000002jx7SAAQ,,,
