id,Pageviews,Unique Pageviews,Avg. Time on Screen
a0640000002jx2bAAA,536,445,0
a0640000002jx2cAAA,200,169,0
a0640000002jx2dAAA,276,203,0
a0640000002jx2eAAA,5,4,0
a0640000002jx2iAAA,604,500,0
a0640000002jx2jAAA,141,108,0
a0640000002jx2kAAA,330,277,0
a0640000002jx2lAAA,366,311,0
a0640000002jx2mAAA,2,2,0
a0640000002jx2nAAA,241,193,0
a0640000002jx2oAAA,125,116,0
a0640000002jx2pAAA,6,6,0
a0640000002jx2qAAA,29,26,0
a0640000002jx2rAAA,3,2,0
a0640000002jx2sAAA,,,
a0640000002jx2tAAA,893,748,0
a0640000002jx2uAAA,2934,2634,0
a0640000002jx2vAAA,75,63,0
a0640000002jx2wAAA,8,4,0
a0640000002jx2yAAA,,,
a0640000002jx2zAAA,,,
a0640000002jx30AAA,341,276,0
a0640000002jx31AAA,103,81,0
a0640000002jx32AAA,4,4,0
a0640000002jx33AAA,196,170,0
a0640000002jx34AAA,119,103,0
a0640000002jx35AAA,140,103,0
a0640000002jx36AAA,2147,1935,0
a0640000002jx37AAA,,,
a0640000002jx38AAA,28,22,0
a0640000002jx3aAAA,373,319,0
a0640000002jx3AAAQ,44,37,0
a0640000002jx3bAAA,11,8,0
a0640000002jx3BAAQ,3,3,0
a0640000002jx3cAAA,10,10,0
a0640000002jx3CAAQ,4,4,0
a0640000002jx3dAAA,27,19,0
a0640000002jx3DAAQ,269,226,0
a0640000002jx3eAAA,,,
a0640000002jx3EAAQ,61,47,0
a0640000002jx3fAAA,184,160,0
a0640000002jx3FAAQ,3,3,0
a0640000002jx3gAAA,,,
a0640000002jx3GAAQ,163,136,0
a0640000002jx3hAAA,6,6,0
a0640000002jx3HAAQ,46,39,0
a0640000002jx3iAAA,,,
a0640000002jx3IAAQ,,,
a0640000002jx3jAAA,2,2,0
a0640000002jx3JAAQ,46,41,0
a0640000002jx3kAAA,37,33,0
a0640000002jx3KAAQ,244,194,0
a0640000002jx3lAAA,726,670,0
a0640000002jx3LAAQ,143,104,0
a0640000002jx3mAAA,,,
a0640000002jx3MAAQ,75,63,0
a0640000002jx3nAAA,4575,3868,0
a0640000002jx3NAAQ,6,5,0
a0640000002jx3oAAA,77,62,0
a0640000002jx3OAAQ,6,5,0
a0640000002jx3pAAA,3,2,0
a0640000002jx3PAAQ,71,56,0
a0640000002jx3qAAA,3,3,0
a0640000002jx3QAAQ,81,64,0
a0640000002jx3rAAA,2,2,0
a0640000002jx3RAAQ,899,803,0
a0640000002jx3sAAA,48,38,0
a0640000002jx3SAAQ,214,178,0
a0640000002jx3tAAA,2,2,0
a0640000002jx3TAAQ,127,103,0
a0640000002jx3uAAA,179,151,0
a0640000002jx3UAAQ,175,151,0
a0640000002jx3vAAA,52,47,0
a0640000002jx3VAAQ,57,47,0
a0640000002jx3xAAA,6,4,0
a0640000002jx3XAAQ,183,132,0
a0640000002jx3yAAA,77,64,0
a0640000002jx3YAAQ,7,3,0
a0640000002jx3zAAA,75,64,0
a0640000002jx3ZAAQ,,,
a0640000002jx40AAA,,,
a0640000002jx41AAA,3,3,0
a0640000002jx42AAA,22,19,0
a0640000002jx43AAA,71,59,0
a0640000002jx44AAA,268,246,0
a0640000002jx46AAA,4,2,0
a0640000002jx47AAA,199,182,0
a0640000002jx48AAA,52,45,0
a0640000002jx49AAA,84,72,0
a0640000002jx4aAAA,4,2,0
a0640000002jx4AAAQ,2,2,0
a0640000002jx4bAAA,17,17,0
a0640000002jx4BAAQ,7,6,0
a0640000002jx4cAAA,266,244,0
a0640000002jx4CAAQ,,,
a0640000002jx4dAAA,96,85,0
a0640000002jx4DAAQ,8,7,0
a0640000002jx4eAAA,4,3,0
a0640000002jx4EAAQ,,,
a0640000002jx4fAAA,153,132,0
a0640000002jx4FAAQ,,,
a0640000002jx4gAAA,10,10,0
a0640000002jx4GAAQ,6,6,0
a0640000002jx4hAAA,25,24,0
a0640000002jx4HAAQ,10,10,0
a0640000002jx4IAAQ,,,
a0640000002jx4jAAA,,,
a0640000002jx4JAAQ,,,
a0640000002jx4kAAA,7,6,0
a0640000002jx4KAAQ,,,
a0640000002jx4lAAA,30,28,0
a0640000002jx4LAAQ,,,
a0640000002jx4mAAA,25,17,0
a0640000002jx4MAAQ,23,20,0
a0640000002jx4nAAA,45,41,0
a0640000002jx4NAAQ,124,102,0
a0640000002jx4OAAQ,142,113,0
a0640000002jx4pAAA,358,302,0
a0640000002jx4PAAQ,2364,1879,0
a0640000002jx4QAAQ,3,3,0
a0640000002jx4rAAA,3,3,0
a0640000002jx4RAAQ,,,
a0640000002jx4sAAA,33,31,0
a0640000002jx4SAAQ,258,226,0
a0640000002jx4tAAA,42,32,0
a0640000002jx4TAAQ,,,
a0640000002jx4uAAA,,,
a0640000002jx4UAAQ,145,130,0
a0640000002jx4vAAA,37,27,0
a0640000002jx4VAAQ,4,2,0
a0640000002jx4wAAA,13,12,0
a0640000002jx4WAAQ,263,227,0
a0640000002jx4xAAA,51,43,0
a0640000002jx4XAAQ,3,2,0
a0640000002jx4yAAA,,,
a0640000002jx4YAAQ,28,23,0
